Age,Fare,Income,Score,City
40.0,7.33,29247.62,95.55,Karachi
33.6,4.42,21450.23,93.41,Lahore
41.5,40.47,45407.03,83.19,
50.2,49.03,92810.52,99.03,Karachi
32.7,1.28,,96.45,Karachi
32.7,110.09,39360.51,75.17,Lahore
50.8,2.13,32464.65,97.62,Peshawar
42.7,31.17,58100.99,93.71,Karachi
30.3,49.39,42160.44,70.0,Peshawar
40.4,81.91,21453.04,97.48,Peshawar
30.4,50.08,29046.76,98.7,Quetta
30.3,64.72,20801.53,90.06,Lahore
37.4,,77126.71,94.6,Peshawar
18.0,67.46,36861.32,,Lahore
,3.34,137424.98,75.57,Quetta
29.4,90.08,34805.73,97.79,Lahore
24.9,31.73,22117.3,86.96,Karachi
38.1,68.0,12586.75,89.44,Peshawar
25.9,24.08,10278.42,97.67,Lahore
20.9,41.27,11981.33,85.33,Islamabad
49.7,29.9,43782.46,95.2,Lahore
32.7,52.61,51849.86,89.96,Peshawar
35.7,3.41,12006.06,98.71,Quetta
20.8,2.49,67949.96,90.77,Quetta
29.6,11.35,25896.35,94.51,Peshawar
36.1,6.95,40245.57,74.08,Karachi
23.5,,112257.93,99.12,Karachi
38.8,9.9,68035.68,91.87,Quetta
29.0,148.96,,90.8,Quetta
32.1,16.43,19460.96,,Peshawar
29.0,8.04,8052.43,87.19,Karachi
53.5,62.37,21951.54,83.5,Quetta
34.9,43.0,31326.16,77.49,Karachi
24.4,27.58,,70.27,Quetta
43.2,32.42,33127.54,94.35,Lahore
22.8,50.8,38322.65,88.42,Islamabad
37.1,10.37,31026.62,72.5,Lahore
18.0,224.35,23040.26,31.72,Quetta
21.7,147.23,40866.19,66.96,Islamabad
37.0,42.03,49481.71,93.03,Islamabad
42.4,8.9,16927.94,96.74,Quetta
36.7,45.61,97504.39,89.92,Quetta
33.8,3.0,33893.83,79.7,Karachi
32.0,1.25,36797.85,89.82,Quetta
20.2,11.92,59620.22,,Peshawar
27.8,24.84,42755.42,72.68,Quetta
30.4,81.08,70770.37,93.27,Peshawar
45.6,51.96,44399.65,70.53,Quetta
38.4,54.3,23654.15,92.17,Karachi
18.0,22.17,46772.58,,Peshawar
38.2,16.98,16307.68,90.92,Lahore
31.1,18.55,39182.75,78.44,Peshawar
28.2,175.76,35480.52,97.98,Karachi
,1.64,31392.31,96.72,Peshawar
45.3,80.71,33190.66,54.62,Quetta
44.3,34.57,9727.44,97.11,Quetta
26.6,23.09,24732.97,87.42,Karachi
31.9,51.68,38754.08,87.01,Islamabad
38.3,26.67,40615.27,89.91,Quetta
44.8,82.68,17687.75,84.48,Lahore
30.2,92.39,88079.53,96.08,Karachi
33.1,21.91,19804.76,87.93,Peshawar
23.9,12.96,71583.51,93.02,Peshawar
23.0,35.89,48973.57,83.74,Lahore
43.1,97.38,23101.22,97.72,Quetta
48.6,9.46,125833.84,87.31,Karachi
34.3,39.02,15747.77,96.93,Lahore
45.0,39.94,69106.77,95.1,Quetta
38.6,52.84,73160.26,96.3,Karachi
28.5,5.64,22710.12,96.97,Peshawar
38.6,50.33,96252.07,73.79,Karachi
50.4,,30484.31,94.95,Islamabad
34.6,7.92,44448.46,60.72,Karachi
50.6,10.85,43574.41,47.44,Islamabad
18.0,142.17,33056.84,87.3,Karachi
43.2,7.99,64059.38,97.69,Islamabad
35.9,77.07,63287.44,92.96,Peshawar
32.0,27.11,10678.93,76.03,Quetta
35.9,11.36,90493.94,93.13,Islamabad
18.0,81.84,11341.86,98.63,Islamabad
32.8,23.57,74815.65,87.79,Peshawar
38.6,28.93,79912.98,72.02,Islamabad
49.8,17.8,16921.22,76.16,Lahore
29.8,35.95,27239.68,97.11,Peshawar
26.9,7.14,16747.54,83.24,Lahore
30.0,19.84,31243.15,96.26,Peshawar
44.2,139.49,,96.31,Islamabad
38.3,11.94,62677.79,68.92,Lahore
29.7,42.77,90872.81,95.69,Islamabad
40.1,15.73,96469.16,95.42,Peshawar
36.0,59.4,24501.32,99.99,Islamabad
44.7,5.61,31368.04,69.32,Lahore
28.0,140.02,11176.78,76.4,Lahore
31.7,24.19,20658.68,85.19,Islamabad
31.1,10.77,71353.11,79.19,Karachi
20.4,3.05,112522.44,97.53,Peshawar
38.0,7.44,15305.32,90.8,Peshawar
37.6,29.34,23987.19,93.51,Islamabad
35.1,16.44,35650.41,98.52,Karachi
32.7,70.62,44183.77,90.01,Lahore
20.8,22.55,20604.76,61.97,Quetta
30.8,11.44,48866.27,99.39,Quetta
31.6,38.4,26064.06,94.83,Islamabad
27.0,49.07,35949.97,96.51,Karachi
33.4,7.31,53231.15,95.92,Karachi
39.0,7.34,36479.13,64.14,Peshawar
53.9,1.49,26756.42,90.53,Lahore
36.7,53.33,33633.34,90.58,Karachi
37.6,43.6,34137.3,78.56,Quetta
34.3,25.75,28028.92,97.48,Lahore
18.0,74.36,30298.17,89.98,Lahore
34.7,65.53,111196.37,91.57,Islamabad
35.6,35.21,53779.28,86.37,Karachi
59.6,81.08,29530.05,20.0,Islamabad
33.1,9.22,59152.14,77.99,Karachi
38.0,4.75,28748.08,92.39,Peshawar
34.7,12.57,,73.64,Islamabad
23.3,2.35,47039.81,97.19,Islamabad
46.4,30.3,33687.71,99.54,Quetta
42.5,110.34,49682.19,96.57,Islamabad
42.9,1.61,,93.76,Karachi
25.9,5.21,16502.43,89.28,Quetta
49.0,24.07,15744.6,85.68,Islamabad
21.0,108.65,40137.25,63.78,Islamabad
40.9,15.2,122120.13,89.3,Peshawar
56.9,28.31,173149.4,89.56,Islamabad
25.1,1.7,56762.76,99.23,Lahore
29.3,6.42,51564.62,99.47,Quetta
36.0,172.59,10293.41,87.98,Lahore
30.0,134.23,24837.96,91.35,Quetta
19.5,0.2,20921.89,72.59,Peshawar
35.7,121.31,23515.3,97.37,Islamabad
24.4,40.77,32283.11,99.62,Islamabad
39.7,80.97,26095.98,91.06,Islamabad
25.8,24.26,9086.0,95.93,Quetta
50.5,28.99,61300.13,99.24,Islamabad
27.2,26.84,17138.45,80.66,Lahore
31.8,43.97,42936.3,98.23,Islamabad
43.1,6.02,155105.04,85.94,Peshawar
22.7,1.22,,95.05,Lahore
37.3,14.72,6178.3,97.14,Islamabad
48.1,48.79,29726.59,92.84,Islamabad
18.9,,78485.7,75.75,Karachi
36.8,44.76,143034.8,92.53,Quetta
37.6,140.15,15356.83,79.16,Lahore
42.8,3.94,51415.22,97.99,Karachi
22.6,44.66,26220.13,77.77,Peshawar
21.8,23.46,33719.65,95.94,Quetta
40.2,81.04,231200.45,83.03,Lahore
38.0,7.8,12681.77,87.49,
37.5,47.19,,60.29,Lahore
38.5,72.83,50381.8,,Islamabad
28.2,115.74,77656.49,98.97,Quetta
37.3,45.99,38893.73,99.71,Islamabad
37.9,27.5,45054.83,73.7,Peshawar
27.9,38.48,27607.59,88.84,Islamabad
53.7,81.27,43843.81,77.61,Peshawar
39.7,33.82,28560.09,95.99,Quetta
23.1,1.23,56111.74,93.65,Quetta
41.6,106.92,28036.79,99.54,Lahore
25.3,46.79,47286.03,51.15,Peshawar
42.9,45.14,35579.18,83.47,Peshawar
46.6,9.72,79876.36,59.41,Karachi
