Study_Hours,Attendance,Previous_Score,Sleep_Hours,Final_Score
4.37,51.57,75.31,4.26,96.57
9.56,81.82,44.63,6.66,114.59
7.59,65.72,48.89,6.7,104.49
6.39,75.43,89.42,7.19,122.79
2.4,95.38,73.35,7.63,105.76
2.4,62.46,40.51,8.88,77.31
1.52,70.52,45.58,6.58,75.04
8.8,87.78,76.49,5.61,130.4
6.41,61.44,40.28,7.98,91.01
7.37,53.85,48.84,5.35,100.85
1.19,64.49,70.18,6.19,80.89
9.73,58.06,78.05,4.39,117.17
8.49,96.48,75.86,4.13,130.43
2.91,90.41,52.33,8.81,98.51
2.64,81.67,79.17,8.18,107.24
2.65,93.57,53.05,7.48,95.7
3.74,90.18,57.9,6.04,97.28
5.72,59.33,81.06,4.87,103.14
4.89,94.63,75.73,4.78,111.56
3.62,76.97,86.71,5.25,104.39
6.51,90.37,76.17,6.75,124.24
2.26,94.8,71.26,7.57,102.24
3.63,65.9,45.15,7.3,81.36
4.3,55.5,60.22,5.4,86.73
5.1,61.4,54.59,8.77,98.24
8.07,71.36,53.42,7.69,109.36
2.8,90.9,93.52,6.77,111.92
5.63,93.04,61.62,7.06,111.64
6.33,50.35,89.06,6.1,113.03
1.42,75.54,74.71,5.24,87.88
6.47,70.87,83.71,5.78,115.11
2.53,61.11,67.65,7.79,91.26
1.59,55.99,71.73,4.07,75.0
9.54,66.88,67.09,4.58,113.18
9.69,97.15,50.74,4.23,116.82
8.28,66.16,79.73,4.2,117.03
3.74,75.94,55.44,8.28,96.39
1.88,85.15,41.34,7.52,85.47
7.16,68.18,75.5,6.37,117.92
4.96,98.59,49.74,4.49,97.68
2.1,98.12,91.73,6.46,112.11
5.46,62.59,92.47,6.37,112.07
1.31,74.86,90.32,4.87,96.46
9.18,65.04,60.36,6.17,113.75
3.33,64.24,40.85,5.99,77.88
6.96,51.84,91.06,7.08,116.23
3.81,80.48,63.55,7.18,101.18
5.68,75.13,93.17,4.23,121.16
5.92,52.57,93.0,5.87,112.6
2.66,63.93,86.92,7.13,102.62
9.73,95.41,56.19,6.52,128.19
7.98,61.98,61.18,8.28,111.61
9.46,57.24,86.81,7.29,130.6
9.05,74.47,57.43,4.81,113.03
6.38,99.28,49.32,4.35,104.58
9.3,62.1,70.62,7.21,119.53
1.8,83.61,91.49,4.13,101.02
2.76,88.08,78.28,6.93,106.66
1.41,61.88,71.35,8.7,94.0
3.93,86.41,45.34,6.88,94.5
4.5,68.39,73.83,5.94,108.13
3.44,81.62,94.45,7.22,113.13
8.46,81.68,47.7,6.29,113.09
4.21,76.79,68.51,6.73,102.51
3.53,54.51,88.26,8.71,112.5
5.88,91.77,80.74,5.93,117.42
2.27,66.04,78.34,8.81,96.52
8.22,59.33,78.64,8.53,121.27
1.67,52.04,59.77,4.98,67.19
9.88,79.54,56.15,4.35,115.3
7.95,83.88,84.51,4.5,123.34
2.79,50.83,84.56,4.09,90.48
1.05,75.6,87.69,4.47,94.38
8.34,61.32,90.23,7.42,134.09
7.36,82.26,68.12,4.36,115.95
7.56,58.72,67.58,5.59,106.19
7.94,84.55,83.91,8.22,130.22
1.67,69.34,75.75,4.12,88.16
4.23,96.84,78.61,8.07,113.34
2.04,56.88,83.77,5.41,96.48
8.77,67.05,88.95,4.59,129.57
6.61,55.67,58.59,7.48,100.01
3.98,96.23,60.66,7.14,99.09
1.57,93.87,45.17,8.39,90.6
3.8,62.9,71.81,7.68,98.63
3.93,83.0,41.98,8.02,94.58
7.57,90.86,65.61,5.41,112.99
6.74,77.76,69.85,4.89,108.95
8.98,76.48,55.76,7.75,118.36
5.25,62.09,72.5,8.03,106.43
2.08,54.66,41.68,8.95,72.96
7.42,94.86,42.05,6.06,108.71
7.85,95.02,85.24,5.86,128.98
6.05,81.66,59.81,7.88,109.03
7.94,66.95,46.99,5.7,101.77
5.44,67.46,68.72,8.65,109.73
5.7,86.3,82.35,8.29,124.86
4.85,94.86,51.87,6.14,97.46
1.23,94.35,74.26,7.75,95.3
1.97,88.99,44.69,7.77,88.96
